sample_name,Cnet ,ROIAREA
F1-1,0.29597782,1.963806
F1-1,0.283237448,0.8926392
F1-1,0.188484482,1.977539
F1-1,0.337757658,2.568054
F1-1,0.235736465,1.400757
F1-1,0.144852565,1.675415
F1-1,0.223964247,1.167297
F1-1,0.288696996,2.49939
F1-1,0.14968265,0.5905151
F1-1,0.222278515,2.252197
F1-1,0.210017567,1.249695
F1-1,0.209295184,2.101135
F1-1,0.392768356,1.029968
F1-1,0.282446948,0.8651733
F1-1,0.273239759,2.59552
F1-1,0.242228981,0.4119873
F1-1,0.19970916,1.771545
F1-1,0.219353947,0.7278442
F1-1,0.229593888,0.9750366
F1-1,0.184046425,0.9063721
F1-1,0.158212869,1.263428
F1-1,0.059638786,0.7965088
F1-1,0.202348549,1.208496
F1-1,0.254469234,0.769043
F1-1,0.222998781,1.071167
F1-1,0.240794177,0.3570557
F1-1,0.235283972,0.9338379
F1-1,0.255840532,0.5218506
F1-1,0.087968663,0.5630493
F1-1,0.261481429,0.3707886
F1-1,0.072748813,0.8377075
F1-1,0.093092394,0.4394531
F1-1,0.135358184,0.6454468
F1-1,0.031502876,0.9338379
F1-1,0.028744093,0.7965088
F1-1,0.246174908,0.5218506
F1-1,0.093302962,0.8514404
F1-1,0.197810575,0.6454468
F1-1,0.127776259,1.455688
F1-1,0.05215365,1.290894
F1-1,0.21399747,0.8789063
F1-1,0.11874058,0.8102417
F1-1,0.06657574,1.098633
F1-1,0.109823134,1.496887
F1-1,0.031376086,0.7141113
F1-1,-0.002013754,0.3707886
F1-2,0.044809802,1.126099
F1-2,0.049174883,1.799011
F1-2,0.037473451,1.963806
F1-2,0.048681654,0.7003784
F1-2,0.01886539,0.7965088
F1-2,0.036349353,1.167297
F1-2,0.04203994,1.016235
F1-2,0.034946347,0.8789063
F1-2,0.034813457,1.332092
F1-2,0.025007959,1.016235
F1-2,0.030955962,0.5767822
F1-2,0.036368456,0.5081177
F1-2,0.027989237,0.6454468
F1-2,0.003734124,0.8102417
F1-2,0.04006754,0.9338379
F1-2,0.031981173,0.8377075
F1-2,0.040481374,1.194763
F1-2,0.013775739,1.304626
F1-2,0.028733559,0.5630493
F1-2,0.028099458,0.6591797
F1-2,0.034538393,0.7827759
F1-2,0.027103217,1.112366
F1-2,0.027866082,0.8926392
F1-2,0.008182105,0.7415771
F1-2,0.03642547,1.359558
F1-2,0.030885854,0.5493164
F1-2,0.022400551,0.4394531
F1-2,0.010213509,0.9063721
F1-2,0.007193147,0.3295898
F1-2,0.026850503,0.4669189
F1-2,0.016172282,0.6866455
F1-2,0.012975418,0.5355835
F1-2,0.018891004,0.7141113
F1-2,0.025691189,0.4943848
F1-2,0.037361102,0.6317139
F1-2,0.030469438,0.3295898
F1-2,0.010101556,1.318359
F1-2,0.022478517,0.5630493
F1-2,0.028258851,0.4806519
F1-2,0.00376365,0.6454468
F1-2,0.017173556,0.7141113
F1-2,0.027365612,0.5630493
F1-2,0.027033292,0.8377075
F1-2,0.028698181,0.5630493
F1-2,0.03067786,0.453186
F1-2,0.02588495,0.3707886
F1-2,0.028931447,0.4257202
F1-2,0.02423574,0.3158569
F1-2,0.041794428,0.3295898
F1-2,0.011834886,0.6317139
F1-2,0.017568975,0.3845215
F1-2,0.02704351,0.5905151
F1-2,0.020061409,0.4394531
F1-2,0.017793746,0.8651733
F1-2,0.022317511,0.3295898
F1-2,0.017770369,0.2883911
F1-2,0.033256505,0.2883911
F1-2,0.047859725,1.538086
F1-2,0.040289348,1.496887
F1-2,0.042566842,1.524353
F1-2,0.041163176,1.41449
F1-2,0.040871489,1.194763
F1-2,0.03711846,0.5493164
F1-2,0.027810038,0.8102417
F1-2,0.034118652,1.702881
F1-2,0.036095855,1.689148
F1-2,0.023348051,0.7415771
F1-2,0.029986771,1.098633
F1-2,0.020237538,1.304626
