SAMPLE NAME,Nnet,Cnet ,ROIAREA,ROIDIAM
F1-1,0.000166589,0.29597782,1.963806,1.581264
F1-1,0.000183325,0.283237448,0.8926392,1.066088
F1-1,0.000145762,0.188484482,1.977539,1.586783
F1-1,0.0002377,0.337757658,2.568054,1.808244
F1-1,5.75325E-05,0.235736465,1.400757,1.335477
F1-1,0.000198607,0.144852565,1.675415,1.460549
F1-1,1.78489E-05,0.223964247,1.167297,1.219118
F1-1,9.84959E-05,0.288696996,2.49939,1.783906
F1-1,0.000503148,0.14968265,0.5905151,0.8671027
F1-1,1.12159E-05,0.222278515,2.252197,1.693395
F1-1,1.0193E-05,0.210017567,1.249695,1.261412
F1-1,-3.26966E-05,0.209295184,2.101135,1.635619
F1-1,0.000199287,0.392768356,1.029968,1.145162
F1-1,9.95173E-05,0.282446948,0.8651733,1.049558
F1-1,0.000186215,0.273239759,2.59552,1.817888
F1-1,-0.000254511,0.242228981,0.4119873,0.7242641
F1-1,4.12272E-05,0.19970916,1.771545,1.501866
F1-1,0.000221641,0.219353947,0.7278442,0.962663
F1-1,0.000154245,0.229593888,0.9750366,1.114206
F1-1,0.000365104,0.184046425,0.9063721,1.074257
F1-1,-0.000109535,0.158212869,1.263428,1.268324
F1-1,0.000489696,0.059638786,0.7965088,1.007048
F1-1,0.000287542,0.202348549,1.208496,1.240445
F1-1,0.000290534,0.254469234,0.769043,0.9895331
F1-1,-8.75833E-05,0.222998781,1.071167,1.167841
F1-1,-0.000402389,0.240794177,0.3570557,0.6742532
F1-1,0.000107037,0.235283972,0.9338379,1.090412
F1-1,2.60315E-05,0.255840532,0.5218506,0.8151324
F1-1,3.4919E-05,0.087968663,0.5630493,0.8466975
F1-1,0.000476746,0.261481429,0.3707886,0.6870973
F1-1,0.000265544,0.072748813,0.8377075,1.032764
F1-1,-0.00040523,0.093092394,0.4394531,0.7480168
F1-1,0.000386352,0.135358184,0.6454468,0.9065365
F1-1,0.000657527,0.031502876,0.9338379,1.090412
F1-1,0.000327094,0.028744093,0.7965088,1.007048
F1-1,-0.000184802,0.246174908,0.5218506,0.8151324
F1-1,-9.94347E-05,0.093302962,0.8514404,1.041195
F1-1,0.000236973,0.197810575,0.6454468,0.9065365
F1-1,0.000113666,0.127776259,1.455688,1.361411
F1-1,0.000138043,0.05215365,1.290894,1.282036
F1-1,0.000518092,0.21399747,0.8789063,1.057855
F1-1,0.000228817,0.11874058,0.8102417,1.015693
F1-1,3.23242E-05,0.06657574,1.098633,1.182718
F1-1,0.000132532,0.109823134,1.496887,1.380542
F1-1,0.00016308,0.031376086,0.7141113,0.953538
F1-1,0.000451652,-0.002013754,0.3707886,0.6870973
F1-2,0.000429472,0.044809802,1.126099,1.197411
