isotope,distance,treatment,value
c,outer,Devosia,0.044809802
c,outer,Devosia,0.049174883
c,outer,Devosia,0.037473451
c,outer,Devosia,0.048681654
c,outer,Devosia,0.01886539
c,outer,Devosia,0.036349353
c,outer,Devosia,0.04203994
c,outer,Devosia,0.034946347
c,outer,Devosia,0.034813457
c,outer,Devosia,0.025007959
c,outer,Devosia,0.030955962
c,outer,Devosia,0.036368456
c,outer,Devosia,0.027989237
c,outer,Devosia,0.003734124
c,outer,Devosia,0.04006754
c,outer,Devosia,0.031981173
c,outer,Devosia,0.040481374
c,outer,Devosia,0.013775739
c,outer,Devosia,0.028733559
c,outer,Devosia,0.028099458
c,outer,Devosia,0.034538393
c,outer,Devosia,0.027103217
c,outer,Devosia,0.027866082
c,outer,Devosia,0.008182105
c,outer,Devosia,0.03642547
c,outer,Devosia,0.030885854
c,outer,Devosia,0.022400551
c,outer,Devosia,0.010213509
c,outer,Devosia,0.007193147
c,outer,Devosia,0.026850503
c,outer,Devosia,0.016172282
c,outer,Devosia,0.012975418
c,outer,Devosia,0.018891004
c,outer,Devosia,0.025691189
c,outer,Devosia,0.037361102
c,outer,Devosia,0.030469438
c,outer,Devosia,0.010101556
c,outer,Devosia,0.022478517
c,outer,Devosia,0.028258851
c,outer,Devosia,0.00376365
c,outer,Devosia,0.017173556
c,outer,Devosia,0.027365612
c,outer,Devosia,0.027033292
c,outer,Devosia,0.028698181
c,outer,Devosia,0.03067786
c,outer,Devosia,0.02588495
c,outer,Devosia,0.028931447
c,outer,Devosia,0.02423574
c,outer,Devosia,0.041794428
c,outer,Devosia,0.011834886
c,outer,Devosia,0.017568975
c,outer,Devosia,0.02704351
c,outer,Devosia,0.020061409
c,outer,Devosia,0.017793746
c,outer,Devosia,0.022317511
c,outer,Devosia,0.017770369
c,outer,Devosia,0.033256505
c,outer,Devosia,0.047859725
c,outer,Devosia,0.040289348
c,outer,Devosia,0.042566842
c,outer,Devosia,0.041163176
c,outer,Devosia,0.040871489
c,outer,Devosia,0.03711846
c,outer,Devosia,0.027810038
c,outer,Devosia,0.034118652
c,outer,Devosia,0.036095855
c,outer,Devosia,0.023348051
c,outer,Devosia,0.029986771
c,outer,Devosia,0.020237538
c,outer,Devosia,0.018574342
c,outer,Devosia,0.025029002
c,outer,Devosia,0.025444847
c,outer,Devosia,0.028870334
c,outer,Devosia,0.031893604
c,outer,Devosia,0.008328445
c,outer,Devosia,0.01770078
c,outer,Devosia,0.022373886
c,outer,Devosia,0.022231819
c,outer,Devosia,0.032801165
c,outer,Devosia,0.027268105
c,outer,Devosia,0.026947785
c,outer,Devosia,0.03131623
c,outer,Devosia,0.027881243
c,outer,Devosia,0.047791037
c,outer,Devosia,0.045111338
c,outer,Devosia,0.021423553
c,outer,Devosia,0.036887823
c,outer,Devosia,0.004791102
c,outer,Devosia,0.040844931
c,outer,Devosia,0.03772137
c,outer,Devosia,0.037276948
c,outer,Devosia,0.047707762
c,outer,Devosia,0.041147657
c,outer,Devosia,0.042202672
c,outer,Devosia,0.041993692
c,outer,Devosia,0.034166641
c,outer,Devosia,0.037830725
c,outer,Devosia,0.011437566
c,outer,Devosia,0.04052693
c,outer,Devosia,0.035920864
c,outer,Devosia,0.038375452
c,outer,Devosia,0.0431644
c,outer,Devosia,0.034529436
c,outer,Devosia,0.025407229
c,outer,Devosia,0.037836714
c,outer,Devosia,0.021072419
c,outer,Devosia,0.034185968
c,outer,Devosia,0.036334447
c,outer,Devosia,0.032373753
c,outer,Devosia,0.029122136
c,outer,Devosia,0.027273665
c,outer,Devosia,0.024204852
c,outer,Devosia,0.022647174
c,outer,Devosia,0.033029552
c,outer,Devosia,0.02618957
c,outer,Devosia,0.039141091
c,outer,Devosia,0.029850353
c,outer,Devosia,0.023327242
c,outer,Devosia,0.027197988
c,outer,Devosia,0.022473587
c,outer,Devosia,0.022398852
c,outer,Devosia,0.032798304
c,outer,Devosia,0.027397846
c,outer,Devosia,0.031959732
c,outer,Devosia,0.028070582
c,outer,Devosia,0.024593776
c,outer,Devosia,0.031384918
c,outer,Devosia,0.028616175
c,outer,Devosia,0.027020342
c,outer,Devosia,0.029263283
c,outer,Devosia,0.039729696
c,outer,Devosia,0.022658497
c,outer,Devosia,0.033134277
c,outer,Devosia,0.02075655
c,outer,Devosia,0.033344362
c,outer,Devosia,0.025268654
c,outer,Devosia,0.027285578
c,outer,Devosia,0.023062104
c,outer,Devosia,0.021157793
c,outer,Devosia,0.026183144
c,outer,Devosia,0.019034503
c,outer,Devosia,0.028888528
c,outer,Devosia,0.021999244
c,outer,Devosia,0.030777462
c,outer,Devosia,0.239714596
c,outer,Devosia,0.063516522
c,outer,Devosia,0.062326187
c,outer,Devosia,0.043719812
c,outer,Devosia,0.048659767
c,outer,Devosia,0.043314526
c,outer,Devosia,0.043259343
c,outer,Devosia,0.039691767
c,outer,Devosia,0.055212401
c,outer,Devosia,0.052343278
c,outer,Devosia,0.048703556
c,outer,Devosia,0.032278612
c,outer,Devosia,0.039456304
c,outer,Devosia,0.039634172
c,outer,Devosia,0.038242824
c,outer,Devosia,0.03112464
c,outer,Devosia,0.030959037
c,outer,Devosia,0.045982461
c,outer,Devosia,0.047713321
c,outer,Devosia,0.033042026
c,outer,Devosia,0.041067355
c,outer,Devosia,0.037867272
c,outer,Devosia,0.03301566
c,outer,Devosia,0.027761342
c,outer,Devosia,0.026955811
c,outer,Devosia,0.027597427
c,outer,Devosia,0.026741602
c,outer,Devosia,0.030440958
c,outer,Devosia,0.024800626
c,outer,Devosia,0.01647487
c,outer,Devosia,0.023019971
c,outer,Devosia,0.026139461
c,outer,Devosia,0.026985466
c,outer,Devosia,0.019156044
c,outer,Devosia,0.042204627
c,outer,Devosia,0.026103924
c,outer,Devosia,0.015789786
c,outer,Devosia,0.016115085
c,outer,Devosia,0.01388909
c,outer,Devosia,0.025473234
c,outer,Devosia,0.026960775
c,outer,Devosia,0.023838516
c,outer,Devosia,0.026562646
c,outer,Devosia,0.014902473
c,outer,Devosia,0.013881996
c,outer,Devosia,0.016089246
c,outer,Devosia,0.00940267
c,outer,Devosia,0.024239591
c,outer,Devosia,0.010460799
c,outer,Devosia,0.012417424
c,outer,Devosia,0.015309081
c,outer,Devosia,0.015113623
c,outer,Devosia,0.01796739
c,outer,Devosia,0.021136774
c,outer,Devosia,0.024097827
c,outer,Devosia,0.01618487
c,outer,Devosia,0.013072411
c,outer,Devosia,0.014805656
c,outer,Devosia,0.024139657
c,outer,Devosia,0.010739739
c,outer,Devosia,0.023256119
c,outer,Devosia,0.010440577
c,outer,Devosia,0.06919521
c,outer,Devosia,0.061229695
c,outer,Devosia,0.065773781
c,outer,Devosia,0.055841726
c,outer,Devosia,0.054669115
c,outer,Devosia,0.053037197
c,outer,Devosia,0.040528237
c,outer,Devosia,0.044049726
c,outer,Devosia,0.061231538
c,outer,Devosia,0.051104773
c,outer,Devosia,0.051704314
c,outer,Devosia,0.041957602
c,outer,Devosia,0.042962528
c,outer,Devosia,0.045634736
c,outer,Devosia,0.053911054
c,outer,Devosia,0.037887487
c,outer,Devosia,0.009273857
c,outer,Devosia,0.035431057
c,outer,Devosia,0.030176634
c,outer,Devosia,0.042177595
c,outer,Devosia,0.028500146
c,outer,Devosia,0.036009305
c,outer,Devosia,0.046527068
c,outer,Devosia,0.041052016
c,outer,Devosia,0.048843004
c,outer,Devosia,0.035483236
c,outer,Devosia,0.042015729
c,outer,Devosia,0.035720342
c,outer,Devosia,0.037022436
c,outer,Devosia,0.038800763
c,outer,Devosia,0.028780208
c,outer,Devosia,0.03601406
c,outer,Devosia,0.026360588
c,outer,Devosia,0.022008249
c,outer,Devosia,0.047892375
c,outer,Devosia,0.005059959
c,outer,Devosia,0.027662614
c,outer,Devosia,0.018361784
c,outer,Devosia,0.034117163
c,outer,Devosia,0.031126891
c,outer,Devosia,0.021160884
c,outer,Devosia,0.02456433
c,outer,Devosia,0.039698989
c,outer,Devosia,0.032182699
c,outer,Devosia,0.018991755
c,outer,Devosia,0.029523485
c,outer,Devosia,0.028672277
c,outer,Devosia,0.017890844
c,outer,Devosia,0.019442858
c,outer,Devosia,0.026483921
c,outer,Devosia,0.02413458
c,outer,Devosia,0.03322492
c,outer,Devosia,0.01609517
c,outer,Devosia,0.025079417
c,outer,Devosia,0.017723087
c,outer,Devosia,0.02303424
c,outer,Devosia,0.019560742
c,outer,Devosia,0.023412287
c,outer,Devosia,0.024967279
c,outer,Devosia,0.020547481
c,outer,Devosia,-0.001178978
c,outer,Devosia,0.022980691
c,outer,Devosia,0.025838302
c,outer,Devosia,0.011714892
c,outer,Devosia,0.012787937
c,outer,Devosia,0.011228477
c,outer,Devosia,0.027796329
c,outer,Devosia,0.01925231
c,outer,Devosia,0.022861835
c,outer,Devosia,0.021996916
c,outer,Devosia,0.014973961
c,outer,Devosia,0.000642833
c,outer,Devosia,0.014214681
c,outer,Devosia,0.011438765
c,outer,Devosia,0.020651002
c,outer,Devosia,0.022474947
c,outer,Devosia,0.008601679
c,outer,Devosia,0.014860849
c,outer,Devosia,0.018921166
c,outer,Devosia,0.013035717
c,outer,Devosia,0.015700658
c,outer,Devosia,0.024156429
c,outer,Devosia,0.006915677
c,outer,Devosia,0.02444493
c,outer,Devosia,0.020898786
c,outer,Devosia,0.020428056
c,outer,Devosia,0.020471487
c,outer,Devosia,0.008196798
c,outer,Devosia,0.022555019
c,outer,Devosia,0.081606899
c,outer,Devosia,0.058310813
c,outer,Devosia,0.027701897
c,outer,Devosia,0.076115587
c,outer,Devosia,0.067822782
c,outer,Devosia,0.051074595
c,outer,Devosia,0.06144346
c,outer,Devosia,0.066995987
c,outer,Devosia,0.059365545
c,outer,Devosia,0.072498076
c,outer,Devosia,0.065148461
c,outer,Devosia,0.04990335
c,outer,Devosia,0.065336104
c,outer,Devosia,0.064276899
c,outer,Devosia,0.063020791
c,outer,Devosia,0.062749513
c,outer,Devosia,0.05443252
c,outer,Devosia,0.045465537
c,outer,Devosia,0.043049362
c,outer,Devosia,0.118474296
c,outer,Devosia,0.038910272
c,outer,Devosia,0.0645085
c,outer,Devosia,0.068471348
c,outer,Devosia,0.028967435
c,outer,Devosia,0.029484379
c,outer,Devosia,0.035020315
c,outer,Devosia,0.041888149
c,outer,Devosia,0.027010306
c,outer,Devosia,0.011040218
c,outer,Devosia,0.02070229
c,outer,Devosia,0.030036048
c,outer,Devosia,0.027281502
c,outer,Devosia,0.041723463
c,outer,Devosia,0.037719874
c,outer,Devosia,0.033351566
c,outer,Devosia,0.030767867
c,outer,Devosia,0.026463028
c,outer,Devosia,0.028665738
c,outer,Devosia,0.025506876
c,outer,Devosia,0.010523721
c,outer,Devosia,0.026884941
c,outer,Devosia,0.048489479
c,outer,Devosia,0.024973581
c,outer,Devosia,0.029869743
c,outer,Devosia,0.020976297
c,outer,Devosia,0.020640082
c,outer,Devosia,0.029112034
c,outer,Devosia,0.021119696
c,outer,Devosia,0.012910536
c,outer,Devosia,0.03465812
c,outer,Devosia,0.038114928
c,outer,Devosia,0.022840402
