id,Time,Treatment,Microplate,Abundance,Inner
2B1,5,1,1,72600000,Devosia
2B2,5,1,2,129000000,Devosia
2B3,5,1,3,179000000,Devosia
2B4,5,2,1,62800000,None
2B5,5,2,2,88800000,None
2B6,5,2,3,56400000,None
2B7,5,3,1,77700000,Alcanivorax
2B8,5,3,2,52000000,Alcanivorax
2B9,5,3,3,96700000,Alcanivorax
2B10,5,1,4,85600000,Devosia
2B11,5,1,5,73700000,Devosia
2B12,5,1,6,93600000,Devosia
2C1,5,4,1,59300000,Marinobacter
2C2,5,4,2,71800000,Marinobacter
2C3,5,4,3,92500000,Marinobacter
2C4,5,3,4,89900000,Alcanivorax
2C5,5,3,5,66800000,Alcanivorax
2C6,5,3,6,92100000,Alcanivorax
3F1,14,1,1,273000000,Devosia
3F2,14,1,2,314000000,Devosia
3F3,14,1,3,220000000,Devosia
3F4,14,2,1,330000000,None
3F5,14,2,2,190000000,None
3F6,14,2,3,244000000,None
3F7,14,3,1,315000000,Alcanivorax
3F8,14,3,2,307000000,Alcanivorax
3F9,14,3,3,254000000,Alcanivorax
3F10,14,1,4,260000000,Devosia
3F11,14,1,5,199000000,Devosia
3F12,14,1,6,244000000,Devosia
3G1,14,4,1,281000000,Marinobacter
3G2,14,4,2,302000000,Marinobacter
3G3,14,4,3,238000000,Marinobacter
3G4,14,3,4,306000000,Alcanivorax
3G5,14,3,5,194000000,Alcanivorax
3G6,14,3,6,234000000,Alcanivorax
