,Alcanivorax EA2,Oceanicaulis 13A,Algoriphagus ARW1R1,Roseibium 13C1,Marinobacter 3-2,Devosia EAB7WZ,Amylibacter N2S,Sulfitobacter N5S,Stappia ARW1T,Thalassospira 13M1
Alcanivorax EA2,-1.0,-0.7860702633615574,-0.8701763659721631,-0.6427176333324692,-0.3449911595162604,-0.5817696771594256,-0.7537783126962107,-0.903576037583158,-0.8181561631898802,-0.8352895510310296
Oceanicaulis 13A,-0.9024563032831533,-1.0,-0.9810479062811209,-0.6774830770282427,-0.3877963251797663,-0.6202683633014968,-0.7290711210509979,-0.8555505317602514,-0.7628130289545634,-0.8111210131440788
Algoriphagus ARW1R1,-0.7400647466551974,-0.7267546735304659,-1.0,-0.5788631924468173,-0.38124253781551143,-0.5268261776226988,-0.6353077212430196,-0.8117466823199742,-0.6760538306368452,-0.6812206608456648
Roseibium 13C1,-0.919943811675997,-0.8446459874976018,-0.9742145002414375,-1.0,-0.5075788317709576,-0.5072153161947212,-0.884373156377196,-0.9476950754569311,-0.8916360666451366,-0.8751047381876571
Marinobacter 3-2,-0.7030974092070914,-0.6884087875031611,-0.9135797191440724,-0.7227197883732361,-1.0,-0.4567496584570627,-0.6250057615634145,-1.0633400596532465,-0.7578460009766003,-0.7354311493317193
Devosia EAB7WZ,-0.8806857714991206,-0.817870820445951,-0.937723526087519,-0.5364400208575845,-0.33926620316803724,-1.0,-0.7211890460103142,-0.8554890242187919,-0.7272386809798455,-0.8919293608085558
Amylibacter N2S,-0.9649998990534068,-0.8129965649133665,-0.9563246061509935,-0.7910029344325702,-0.39260888111574627,-0.6099059259438162,-1.0,-0.9949966466956017,-0.873040110009296,-0.8976078640119544
Sulfitobacter N5S,-0.7352926932466564,-0.6064240207273991,-0.7767005886432652,-0.5387944108826755,-0.424580642027377,-0.45987530476168015,-0.6324606825477815,-1.0,-0.6768925172656163,-0.6963443763761847
Stappia ARW1T,-0.9620123840808659,-0.7812638753476853,-0.9346807561137199,-0.7324719477974929,-0.437237989263141,-0.5648739257302361,-0.8018534895241131,-0.9780670415426719,-1.0,-0.8889299739295108
Thalassospira 13M1,-0.9503247830951765,-0.8038145141608544,-0.9112979316505772,-0.6955910007961519,-0.4105532512417116,-0.6703406688306548,-0.7976971224531378,-0.9735618200168016,-0.8601181268998503,-1.0
