,positive-1010,positive-1116,positive-1119,positive-1120,positive-1134,positive-1145,positive-1154,positive-1186,positive-1229,positive-1246,positive-1315,positive-1382,positive-1388,positive-1484,positive-1492,positive-1505,positive-1522,positive-1589,positive-1620,positive-1731,positive-1800,positive-1805,positive-1867,positive-21,positive-220,positive-23,positive-244,positive-246,positive-247,positive-251,positive-263,positive-2760,positive-303,positive-306,positive-309,positive-31,positive-342,positive-347,positive-362,positive-37,positive-373,positive-374,positive-378,positive-383,positive-385,positive-396,positive-4023,positive-429,positive-431,positive-439,positive-441,positive-444,positive-4497,positive-4510,positive-4546,positive-4579,positive-4598,positive-4599,positive-4659,positive-468,positive-4861,positive-5083,positive-523,positive-5311,positive-5328,positive-547,positive-552,positive-555,positive-5809,positive-585,positive-5891,positive-6012,positive-637,positive-638,positive-639,positive-640,positive-641,positive-645,positive-648,positive-667,positive-673,positive-675,positive-687,positive-720,positive-756,positive-757,positive-7677,positive-7891,positive-797,positive-8,positive-81,positive-858,positive-981,negative-1008,negative-1068,negative-1090,negative-1140,negative-1288,negative-1327,negative-1730,negative-1791,negative-1793,negative-1824,negative-1829,negative-1834,negative-1863,negative-1950,negative-20,negative-2099,negative-231,negative-245,negative-252,negative-260,negative-268,negative-2978,negative-324,negative-330,negative-336,negative-341,negative-365,negative-3683,negative-369,negative-395,negative-4105,negative-417,negative-450,negative-466,negative-480,negative-483,negative-488,negative-532,negative-533,negative-539,negative-549,negative-560,negative-58,negative-59,negative-6,negative-647,negative-649,negative-651,negative-658,negative-667,negative-669,negative-711,negative-712,negative-721,negative-782,negative-796,negative-8,negative-802,negative-807,negative-822,negative-833,negative-853,negative-917,negative-920,negative-933,negative-971,negative-972,negative-974,negative-977
SpentMed-Alcanivorax-EA2_1,0.5402667775458119,1,1,0.9845596859465161,1,0.9646268669429663,0.9323288299986946,0.2690441315870749,0.8953473003674866,0.6052386881091385,0.502241333,0.543068116,0.46978697987605533,0,0.006057,0,0.007362394,0.3223658888328555,0.7711806454546115,0.4621496436558841,0.10834986116346072,0,0.24936219982849248,0.000661441,0.6278561628648204,0.8930620346768078,0.8082017512803998,0.408057187,0.389156296,0.5359078269333589,0.3118943368939214,0.74611489,0.2550469546839729,0.6900683645604246,0.093819985,-0.002281599,0.4505475740906635,0.6736992379184931,0.062800148,0.021492472990923345,0.4533549237454436,0.9077779513058089,0.6678022848339508,0.1600678735412114,1,0.7375350895626308,0.007594719,0.24686810044652416,0.528391795,0.9047020087313961,1,0.3103099277866393,0.5881092532479779,0.5535171788827766,0.491322307,0.4908215929436946,0.5911897237120441,0.477588083,0.168510386,0.24131607139795402,0.1730021838500105,0.22020911635609483,0.46141429661004024,0,0,0.4887999809808841,1,0.6064560249607008,0.29099190188676066,0.1274916460712082,-0.103205496,0.09503431,0.3084890333062551,0.31984652947331704,0.2472963893105041,0.3275015816152697,0.21778661083286066,0.050168735,0.2209456689753533,0.16279606508151534,0.2991280342755199,0.9993819128892764,0.23682588937152713,0.6505711965465509,0.36089326179233805,0.35003101295055694,0.7750595314931222,0.009816069,0.9245000496448186,0.003400189,0.020985414,-0.163297963,0.042987822,0.6157684707231301,0.039394655533529124,0.005523435,0.3489883541533946,0.5207486836978246,0.26193447795552194,0.537486682,0.004019984,0.012908881,1,1,1,0.002247962,0.005258907,-0.000283098,0.332274373,0.008833038,0.5405142321100073,0.9879518072289156,0.17044318636218048,0.5286435116212274,0.8698067367902917,0.4837548610666261,0.49453009684639043,0.3350021476240794,0.13159386528495393,0.5291552792754386,0.364397788,0.8645385482346648,0.063935389,0.047602411,0.5724041840138032,1,0.8190589183484674,0.8448881613425103,0.001812835,0.8311699125572539,0.20040757127933814,0.15434387928177865,0.2372289301615302,0.5151566050725762,0.12739429390290816,0.024430399,0.014598711549364153,0.29647013807708716,0.23763682891498325,0,0.8822848240468352,0.35953574952627476,0.8873454060031256,0.04731072,0.49282041408111477,-0.025963004,0,0.25800900185332276,0.4724946851151903,0.012948043470879276,0.2774724112954672,0.11692018088033149,0.4521495044406605,0.00764306,0.3310073855731496,0.051581328210653185,0.010536985910303734,0.5823295139642705,0.001399599,0.001955223,0.00132546,0.076877698
SpentMed-Alcanivorax-EA2_2,0.40359333416492854,0.7723154846411113,0.7449517214859902,0.8301121491246484,0.956623681,0.8361401784941135,1,0.2970267853089627,0.26176613009446925,0.5175272751489399,0.16899816758584052,0.12252932812460138,0.1503823717949011,0,0.00215016,0,0,0.4337753518991301,0.18301264276324178,0.4614234262027591,0.063848293,0,0.12145938605228111,-0.001654632,0.411823512,0.1801543556185735,0.5650450967941792,0.12394956349682362,0.8757405195369689,0.4558290264966726,0.7671026986410195,0.4406738490000364,0.7738890156019818,0.40009762043424635,0.2848547613199734,-0.000316206,0.6626674848937543,0.2569420754035079,0.17474252395889545,0.011226595145352493,0.19754246950751148,0.2723530345450823,0.6321170381822528,0.4028020674739614,0.21801778031642108,0.20610711562861125,0.004692763,0.7979914843727446,0.19791641013231284,0.420534427,0.22025295882736048,0.3433416199633105,0.20318299428874773,0.13758643381544844,0.17027183261951312,0.19725694354552287,0.15178572087561493,0.1425990240513164,0.13223421389446777,0.10357026776858642,0.14663414905827865,0.29525648385773595,0.1325738828669872,0.012629647111292164,0,0.4489483565871122,0.6258518348486881,0.5190150902162818,0.21717756127382015,0.9340791278890787,-0.103205496,0.036378581,0.7583265637692933,0.40704569236135335,0.6763853903086562,0.5498599296295756,0.75663623,0.6252756547896129,0.7070898846066289,0.19418716276107356,0.27083487330863987,0.3009168333349909,0.094202196,0.5568607776163229,0.24569425837129405,0.24315767927138657,0.41231742650768466,0.002322459,0.3208018719105327,0.002471647,0.020640610805018597,-0.097188968,0.027645670732862743,0.2561228509586251,0.036554459539007565,-0.02299259,0.28049595512681025,0.4980269258131832,0.36635508747783635,0.2685392436444185,0.00244476,0.016443613860091428,0.7396732284477525,0.5897992882392399,0.5436548638237624,0.001669509,0.002574047,0.000734281,0.29946808832509675,0.003101706,0.26308886281793614,0.36990656626506024,0.047912751,0.2401844526834241,0.3545115682845919,0.23127177883483205,0.44777466727905174,0.4149906524312174,0.6118498351274383,0.28804891212124634,0.3601293929550143,0.4939277974437803,0.080898605,0.021165406176444232,0.37534537958285846,0.2319311578109133,0.4562505055636992,0.2910950781249207,0.000642491,0.3304678624803203,0.6182901013993796,0.6064260177590997,0.37650861689224613,0.32606937154684645,0.6044519540603673,0.020634878280471197,0.012620299999302306,0.1539760013172379,0.20255185349326782,0,0.3057605654459655,0.17812396944605502,0.3232084376951547,0.002192671,0.29387918944144187,-0.022490864,0,0.36854646544876885,0.2831228984881738,0.008500083,0.3302385175722157,0.5757823502635603,0.722103806,0.004150589,0.16831530269627004,0.034695836,1.571020581546146e-05,0.28750462213138245,0.000418253,0.000372736,0.00068498,0.09343091
SpentMed-Alcanivorax-EA2_3,0.4973306900948781,0.7023646578529972,0.7454018156401516,0.6682211215565316,0.7263231789809479,0.6811788241059378,0.6177546725413707,0.2598360118471896,0.526379214,0.5008273148147543,0.4814289133399686,0.42779344853664325,0.35685943457273306,0,0.003263106,0,0,0.2604701610171859,0.5220770900874686,0.34554705716295336,0.12448922739341169,0,0.20983457985613027,0.000654755,0.7382378094727127,0.6111184539434033,0.45186372174639056,0.21396724241285592,0.28718926030897163,0.5449885954836047,0.4706879514568626,0.5363099825745425,0.4002938441785004,0.6366073026845033,0.7338740501126221,-0.002281599,0.23896680990686325,0.5371527935702525,0.21787356363536975,0.016031071066221217,0.43619337306081857,0.7768332710976323,0.42499148801529785,0.5412107095771237,0.503441159,0.49028023476270294,0.010224775336825262,0.3995845868493067,0.4346904134495028,0.7778872563119016,0.36103112268647775,0.4897783719055423,0.42447001407924345,0.47763965531588676,0.42136516053838796,0.3596027413402446,0.4471511788046474,0.44161830431278215,0.23038527730204375,0.30650432725229193,0.14421314727826073,0.45365723921264545,0.5094956226638586,0,0,0.5298096490370745,0.8636692978921415,0.5023666280317933,0.23897866203946017,0.14807336168596458,0.000374185,0.14635774590572984,0.46181965881397236,0.4750610394140216,0.38393366895796033,0.4929144990405461,0.3734106194344087,0.5326642850778234,0.37715090358822484,0.35001591834764373,0.4547267622203653,0.5756104979994949,0.24988215019914228,0.5455281875629246,0.3671488050698586,0.4272376415234382,0.6569184920445872,0.011169590255770613,0.8638465750381957,0.001509429,0.015149238259510948,0.11573655220181353,0.071293621,0.49012128958859597,0.038548139,-0.000715205,0.3034863105175455,0.42022693901835584,0.3996052306672666,0.4288812339941376,0,0.001908304,0.7242277195498854,0.7136407348858752,0.5096777716268511,0.00268824,0.005045631,-0.000283098,0.596181751,0.03344748,0.47115788978698947,0.608433735,0.10534804967683739,0.5433482888810397,0.6245965871375284,0.5312620824408629,0.6529759731894659,0.3040338735310523,0.2235755298431568,0.6576301347220267,0.3013043722508643,0.7329520706723595,0.057300938132529095,0.039597991,0.47821403896655473,0.3790475941371374,0.7500642090648751,0.7101768528711258,0.000425911,0.6871941362669538,0.32219737631665524,0.24257111889658575,0.35873793185481545,0.5744945387990575,0.20279152409345635,0.015824918715791503,0.026983792055646893,0.3464975629567172,0.5090045878789986,0,0.6582767195223681,0.43808854048008383,0.7425919359223603,0.00254804,0.527163619,-0.005284616,0,0.38575589091871854,0.6332110604802211,0.012530255,0.39134661864212983,0.19271908084682524,0.5961892232860169,0.012357700451564754,0.41795523587462957,0.062258701684302115,0.003173218,0.5689808239455055,0.000540787,0.000998188,0.000526386,0.079100668
SpentMed-Alcanivorax-EA2_4,0.9334469131162384,0.8611746436453355,0.9967105328487884,1,0.9227857599230499,1,0.9253878949084533,0.35931014786384796,0.6809253635320208,0.7726499308965717,0.4835704509928152,0.638558961,0.5595436562256988,0,0.003122232,0,0,0.3846658179291058,0.5218294964981108,0.67612502,0.14749024340840688,0,0.2542856314496544,0.000497582,0.706700196,0.7183167559991083,0.5814671004369423,0.22512322021691575,0.6067292229478712,0.7342943530008301,0.5412628912626143,0.5218905420900225,0.47711834857958285,0.8943211835251046,1,-0.002281599,0.32096577316241814,0.5844682761091274,0.2845760841852996,0.020245084,0.4646759254058352,0.9366348115042634,0.6240834717876858,0.8665966616921665,0.5550710180077911,0.7529519114152976,0.009157321,0.47970218724520264,0.47140208561091224,0.9601647545640027,0.5316633487943256,0.5668692394737519,0.5684445220239412,0.709126179,0.5223966232790035,0.47777565064130806,0.7329494749758234,0.600668838,0.23149285290463625,0.4104387193988788,0.44668266867743345,0.6045482528559135,0.6564528946321713,0,0,0.6326563884406738,0.9918788577123756,0.773351017,0.7089322195673842,0.2640415580138784,0.10462575264751452,0.1327742292467157,0.5318846466287571,0.5465643529822114,0.4678337529520124,0.5796884885095436,0.4643422881554534,0.7639413,0.4882309463665104,0.6779005459907167,0.6843402389918695,0.627424408,0.25718611784923767,0.7734325797303153,0.4218495175896506,0.6365270620648066,0.6393734277967361,0.011855166,0.7118566899775071,0.00149064,0.018921469,0.093909588,0.049902144,0.6108118623097394,0.061494605,0.00085991,0.4652056523236507,0.9011162852816716,0.45503726046796455,0.8106023542693567,0,0.002143017,0.919029683,0.7127548383593582,0.9241763211351586,0.003107468,0.005774884,0.002053051,0.7066137969637335,0.006498672,0.7312441734983062,0.7108433734939759,0.077173784,0.7276172530023983,0.780887491,0.683285191,0.9562609257157719,0.44485156595504877,0.2798093080143025,0.9171354934846242,0.5141819407307424,0.9728559217371929,0.060462393,0.063766258,0.9277833393673992,0.5234831072033633,0.8049519866863328,0.5723081938732384,0.00060313,0.8552893140515045,0.39354502091490207,0.3052244971073044,0.43766027686287484,0.8830262000468039,0.2608469041084876,0.020308120805789837,0.030106800385196406,0.567413821,0.8312766395727795,0,0.8032677268189977,0.48765210788797236,0.9485251816366977,0.004042795,0.8623110681890728,0.020927474443349036,0,0.46253640455387873,0.8628901712356654,0.012802775345196082,0.44078652313576316,0.2564951715397894,0.9863120759593336,0.013065219717115772,0.470138269,0.078805101,0.007345516,0.6974248619607537,0.000481816,0.000553482,0.000550931,0.11605254374150287
SpentMed-Alcanivorax-EA2_5,0.7953778952035624,0.7263935170355764,0.9108647369652779,0.8639668653120064,0.7529859721443227,0.8317159427492151,0.7918202666001379,0.3774430978467338,0.6601587884628918,0.7270912776537178,0.3546489619321393,0.8186050123558927,0.5883172068756916,0,0.002741465,0,0,0.5191802625633363,0.8420975165348435,0.9073727330123346,0.11423941699093973,0,0.2270507507833312,0.000330577,0.6183948788698582,1,0.7890443129543536,0.2456534345634455,0.5509316449208936,0.6601439398847827,0.297779349,0.8982762388165496,0.2497764960634755,0.8270009831705499,0.011205722,-0.002281599,0.26478327703887516,0.4951011833384517,0.2321934489201138,0.020536633650565267,0.45195652297047206,0.8045704886146193,0.5382459003144657,0.6869186119340265,0.8833502783211356,0.7428294363469535,0.008390549,0.22578911809636468,0.3577763505842202,0.9375120727020979,0.47751096379241703,0.4078069119361434,0.6031356508146197,0.8358059518847747,0.5203766356661036,0.5455673916348805,0.8780690432084407,0.6069081147272564,0.2525856000997491,0.34044493148092825,0.2319538364087474,0.513741593,0.719261747,0,0,0.6209776705977738,0.8877614872912105,0.7279328541578428,0.22014939306892298,0.2964052651343085,-0.103205496,0.18620199550366096,0.289195776,0.29891873038018835,0.249693535,0.3112314585898327,0.2040130311688951,0.8939003464085231,0.1959566623909081,0.48610151709331395,0.47547941466788957,0.9121382417927868,0.25600877238325814,0.8060899846631147,0.4469452531865838,0.8398207773078529,0.7825826542764888,0.014738311301852186,0.8756529227083474,0.001691414,0.019261668626405968,-0.170163238,0.069010689,0.6158979807501517,0.053082598771894564,0.010278626884033411,0.43312972057990157,1,0.23065584284413793,1,0,0.008708255,0.7860832831684427,0.629439391,0.6576984520043987,0.003065847,0.006146655,-0.000283098,0.8560372219823654,0.011027298240214131,0.6618878311752884,0.7831325301204819,0.080050759,0.5270770339500775,0.8011541515070858,0.7244581160294262,0.6203477801945828,0.4158465922894074,0.12382150761382725,0.6138584940357366,0.4796295789313951,0.9558609127345509,0.061021797,0.07111034,1,0.5514438178485457,0.7872675822887871,0.5472881588349171,0.002746228,0.8361461569194707,0.18376526941710716,0.13959659017197143,0.2013293496830305,0.8624576400348712,0.12095653905110616,0.024321757422978072,0.029069807,0.2768127966713792,0.33202257548581277,0,0.8668056843322549,0.4649046614902738,0.8837612519511079,0.006775615,0.839739372,-0.012599546,0,0.2268996558114906,0.7130050957679963,0.035490621263941695,0.48222612921141766,0.12049388871940422,0.9313910392999214,0.012461582742858327,0.42925220859465607,0.10570321046620436,0.015517914151947913,0.5397169699358051,0.000602229,0.001844486,0.001268481,0.12978618978074233
SpentMed-Algoriphagus-ARW1R1_5,1,0.00560909,0.008571494,0.003845231,0.006578806,0.006940124,0.011166495245428672,0.5589356740562105,0.7585423166168811,1,0.888062854,0.14869951285875024,0.13485550052869055,0,0.001119635,0,0,0.5552874215582746,1,1,0.051036712,0,0.21680886432378949,0.002741865,0.7981592747741398,0.22814213435478908,0.9513894576665423,0.7544452262991023,0.6869865392736173,0.7095775486288143,0.3859980236899606,0.829153948,0.32875623855073927,0.8176638689369717,0.055358226,-0.002281599,0.6210112119357287,1,0.5434821490195861,0.069109436,0.3503608059395072,1,0.5793267895836032,0.5839687463672688,0.9359909860583254,0.3064004871616259,0.030834059357165263,0.31551946117406166,0.928123803,0.17576516581604462,0.7652292454556814,0.6039311691098348,0.24128818459415532,0.17016964933000428,0.27728632296470623,0.17513539267666625,0.20607195869582676,0.17590653783117094,0.6069170882918803,0.6558269536160187,1,0.8429284164841891,0.8756185054109644,0,0,0.7436550816917631,0.013395638599579021,1,0.31034826701291274,0.2789039942728645,-0.103205496,0.22913839725234414,0.38363119415109664,0.39483780955702824,0.34318219958942076,0.4061405095715487,0.2782501769277205,0.680988284,0.28586272070211366,0.3848640026149311,0.6281310748389771,1,1,1,1,1,0.7394207730231237,0.012634773574268444,1,1,0.055629382,-0.160361939,0,0.5773120956580768,0.049414103916443027,0.003406081,0.4299026766351674,0.6519932387243005,0.31536658009507007,0.6982359127677233,0,0.018610943578587457,0.005427282,0.005933916,0,0.059658637393406114,0.011278707398124917,0.008769581,0.7946928587908617,0.017386918605519913,0.709570317,0.7289156626506024,0.733499302,0.5808473789205305,0.7987869746449664,0.6896194870216525,0.5695188500882776,0.6956063288345359,0.18059486934189486,0.6485944207627241,0.8140977704680011,1,0,0.8068931289728908,0.6269771505929459,0.5640901991909996,0.8739023549550412,0.9121294810861199,0.001366758,0.874085944,0.25580011669121316,0.2013265334276506,0.2779112367633932,0.8475924262900019,0.1511220608098197,0.04760923,0.029571643,0.7029956051713527,0.41195179008283633,0,1,0.29194208897852303,1,0.5939556292385562,0.8037860878348059,-0.025963004,0,0.3155943870796929,0.2671802419541294,0.027856192328869166,0.6427711686581348,0.14938371715337787,0.6767717441588258,0.7665781175968807,0.3673771990940593,0.2177582898866935,0.004005971,0.7426958269090767,0.000663581,0.00051629,0.006117588,0.13878951132190184
SpentMed-Algoriphagus-ARW1R1_3,0.31532251429822994,0.004239052,0.005507204,0.004481928,0.004479491,0.002414138,0.003526035,0.067588293,0.2599038468432694,0.445852408,0.4351630374680419,0.11768582039754642,0.13502138085689525,0,-0.000147044,0,0,0.6562280754445518,0.2427581717528078,0.3439767831394796,0.024327238618446836,0,0.10554877660524693,0.003616362,0.42759231830478733,0.086861569,0.4602814625054985,0.2724392083486114,0.8435846747634119,0.4260924554287387,0.1676771998235203,0.39498548757433755,0.1606624121490374,0.3929709687988205,0.5244155087736573,-0.002281599,0.6883396698335255,0.42695279514656054,0.24321697168873982,0.022946982,0.094539748,0.34406484442669516,0.636170839,0.46539935877967553,0.31855039473443886,0.22715683259852704,0.002323509,0.13033993210603112,0.3974484959323913,0.1320701390690338,0.23977711619359524,0.1735163072031443,0.24163026029241685,0.12312374350648876,0.23808223388944713,0.1915984853058317,0.14696983557391718,0.13773546654850033,0.21820676312944384,0.27764873683532454,0.3081515875495227,0.3318634408198259,0.21528575699335245,0,0,0.38823667666803774,0.004613573,0.44756124901454963,0.084485814,0.39124646430089566,-0.103205496,0.028619492613193093,0.18155970755483347,0.033833275,0.1274391264618583,0.11293662253014805,0.098083776,0.6219867570340272,0.076529658,0.26176063196367577,0.36637536941889487,0.3872456855160519,0.2334008199404418,0.4912594199102685,0.42857559256058037,0.2593436014206285,0.2728210100512046,0.002505507,0.2486860911260925,0.15869739496573942,0.044222803,-0.073330759,0.001390717,0.2721666607792846,0.010071377,-0.019766247,0.034919459,0.2726110108685828,-0.014511371,0.23851954303557926,0,0.001598434,0.003847392,0.002656066,0,0.011895670316311228,0.004088711,0.006357202,0.3143737379058621,0.00441678,0.2587540914227475,0.34495111445783133,0.3812931692135899,0.25132997398705775,0.32469296377940565,0.2434086545439343,0.5000116550286311,0.4057269165509787,0.089999589,0.35069191359145824,0.26499349942220324,0.5445143436391823,0,0.3147503987322969,0.3245058905730132,0.17756253313490286,0.5592488700683407,0.3608455064703929,0.00019549,0.3092920422164019,0.085709276,0.095693928,0.004427408,0.34411307537239816,0.097491936,0.043280338,0.016996328368954795,0.31279069055924774,0.31297284052797136,0.00059282,0.38092093281725076,0.10573720793401094,0.39256957103948686,0.20203989735521954,0.3259619249376919,-0.022071115,0,-0.012046598,0.2509151329139383,0.009162573,0.3035036532379741,0.087909552,0.5577073373826026,0.31123963400933363,0.13106761895548735,0.16317964267906473,0.000543967,0.276522495,0.000349545,0.000273751,0.002538912,0.056658509
SpentMed-Algoriphagus-ARW1R1_1,0.25819116342124565,0.003916635,0.005827712,0.004146405,0.006806702,0.003148126,0.00350439,0.059071347777631365,0.10775136872212855,0.2853916198011722,0.23916979012712297,0.14794265615904362,0.094475918,0,0.000810005,0,0,0.4894432404403229,0.18350707637849586,0.22341728134269762,0.022787586326148846,0,0.10379996291766173,-0.000983741,0.37870901766414933,0.019923181,0.5257146137233684,0.38298895424661805,0.7274288376891859,0.30829587331236713,0.10893037291692331,0.36323515761547925,0.10562961295481688,0.3035467499522825,0.1544163383920929,-0.002281599,0.8647593585357641,0.24696414861642838,0.002280092,0.005120869,0.084235369,0.27758066518430097,0.8834249612233067,0.1623762108446809,0.23731351425899624,0.19659951606891082,0.027143824,0.081936315,0.2459257883144542,0.16019292941839333,0.275031286,0.086056228,0.19110098609385492,0.13384084044753913,0.15958939600131647,0.12604060619378887,0.11324377598600079,0.089717767,0.078042637,0.355105423,0.14757012215995435,0.019111299039525066,0.070294941,0,0,0.3190630908621098,0.012468498513884948,0.2875952782890936,0.066426202,0.2519288930535036,-0.103205496,0.017019817,0.12774167343623072,0.002441577,0.089084802,0.067291036,0.062733997,0.0378659,0.053860272350315846,0.003281479,0.020197186181425512,0.2615325002692611,0.019201083054518342,0.3575217741693576,0.008682859,-9.22E-05,0.36221723,0.00164353,0.021541475964475972,0.068139408,0.009575571,-0.094307553,0,0.40846611025055757,0.007009512,-0.019187532,-0.046606075,0.057552372466498934,-0.042165251,0.087331353,0,0.006086391,0.003554391,0.002680416,0,0.009609995,0.001988971,0.000806167,0.000266745,0.003813988,0.18591632080139794,0.4214396686746988,0.5373024027005765,0.071219511,0.12709068845287638,0.022598682330097816,0.22706027175205817,0.22166256100513004,0.065577686,0.10901866633929931,0,0.6334088348552432,0,0.011511368044771389,0.17559672685409064,0.11577601617866702,0.026922639395429514,0.056317427,0.00049966,0.1804546031843222,0.050981871,0.068022474,-0.019235687,0.2047413873291444,0.058973006,0.009838425,0.000938513,-0.092299332,0.030808212451521218,0,0.16022259881080886,0.021402886327124546,0.12328390486661911,0.00873392,0.1796156729349278,-0.025963004,0,-0.036536934,0.016903076,0.003664833,0.1043645745859586,0.047107806851625314,0.4043347406422425,0.002492601,0.038185955,0.013743268820798725,-0.001131392,0.23145704432972247,0.000207036,0.000637294,0.00089779,0.016971158
SpentMed-Algoriphagus-ARW1R1_2,0.3517020160636622,0.004689515,0.007335967,0.005550737,0.004101611,0.00246742,0.007887319,0.07732828,0.26744221548581026,0.3883790535062019,0.381208013,0.12052190241044261,0.13568409817868682,0,-0.000147044,0,0,0.6262951402667136,0.22885792831713053,0.28230716488041063,0.021934293736831846,0,0.094223926,0.004683736,0.4070928696490359,0.072192102,0.4307319986961945,0.2974333107462043,0.8839243805729586,0.41021700646062026,0.14635204664326001,0.3136390465039511,0.13894701939940976,0.4077586710262864,0.6307142148326144,0.00107382,0.7826655398590548,0.3860830899918702,0.2180959866365147,0.021589541611097038,0.08702178,0.3144654274698068,0.7525478665370516,0.41055522876234923,0.2535167069117928,0.24287919910023598,0.003052667,0.10789911425493993,0.3888392476324779,0.13305026290458946,0.23464404732673497,0.1655014116242192,0.2257365901779631,0.12014180079927439,0.23008485745817328,0.18285984695705265,0.13169458383912783,0.13951090582453016,0.1776626197279641,0.3931785081120098,0.27367849270301087,0.35082084533764557,0.15964981975836223,0,0,0.4328522757660295,0.004250128,0.39026512667225766,0.073923889,0.37010982675698045,-0.103205496,0.032510013,0.16429731925264013,0.021625392396232995,0.11305625492002078,0.096831831,0.090947706,0.5925078351866053,0.069635941,0.20439950096238793,0.3414046247722149,0.3294054266170397,0.2510599165332871,0.547422947,0.4321798563913468,0.21398898880945313,0.2588801998693248,0.001781727,0.27068280429917657,0.1575923980643545,0.044518849,-0.111975811,0,0.2615629587850819,0.010472524644022086,-0.015389715,0.022038926166986522,0.2623797364804313,-0.022339778,0.21303044870120316,0,0.001952924,0.00440409,0.002242155,0,0.010517808044365522,0.005263069,0.010973199423516176,0.29234499271148495,0.003513039,0.28042794839869056,0.3344953313253012,0.40249633699879644,0.25817522650755576,0.3098534819125572,0.2728801868884345,0.6056328134401796,0.3718119740747706,0.086076143,0.34995041390165255,0.37277628836801857,0.5173764919027742,0,0.2808571436919376,0.32080046612230306,0.3124049243002716,0.57718819,0.36180950444022536,-0.000111626,0.2795374349258729,0.071912104,0.088472374,0.000348597,0.31474630964697914,0.084445778,0.041790927,0.011661855340367844,0.389467239,0.38030500181427884,0,0.33610094303587656,0.097515794,0.33461889102734943,0.2001906727822921,0.28890603082566174,-0.022622704,0,-0.020651311,0.18480907209347466,0.015312732252222395,0.29436922828938944,0.085808372,0.5585887703595207,0.26771445597711996,0.12513490620221338,0.1825136720617628,0.001014281,0.320106777,-0.000115408,-5.30E-05,0.002347975,0.051963128553682354
SpentMed-Algoriphagus-ARW1R1_4,0.25732847243694457,0.004005976,0.007288568,0.005474285,0.005267257,0.002262287,0.003359394,0.042868705131796234,0.18786263052762364,0.39105627095773926,0.4476782171726378,0.12560071285635316,0.12224564852638997,0,-0.000147044,0,0,0.5794677267315388,0.13845073101051297,0.3206837628375755,0.02322538,0,0.077791189,0.005231809,0.3960547049882467,0.09042713,0.4923003635564699,0.2738017352617965,0.8863930517955773,0.42959204596776146,0.19120686711102294,0.34650963524178396,0.1772322254905924,0.3832361087820497,0.5972451156355317,-0.002281599,0.5877773307379158,0.37548503468155886,0.107601127,0.02391187,0.075251582,0.2751252227169653,0.5283586269364727,0.3397500027897426,0.2423057877385869,0.23541390096334255,0,0.14983256565856046,0.4300363002802872,0.12830580751393642,0.20021282605788773,0.16030489434699913,0.23542242277042827,0.10769597923715706,0.20002308421599857,0.22203493299107274,0.1285948180657834,0.1236178724733072,0.1681208558994853,0.32087783913509527,0.33010924883487475,0.30513388019873516,0.1367349435159481,0,0,0.3857013105452205,0.00408159,0.3929340883110665,0.095146658,0.3034317093370716,-0.103205496,0.058891371137956984,0.20796100731112915,0.049529125,0.14901343377461454,0.12532249773510737,0.12211553630746416,0.38857550007500685,0.099740017,0.1880686832529245,0.29966237959121433,0.3115519788283135,0.17259837266648242,0.45041737917345814,0.41688844559492716,0.19382196821120976,0.3488441868287978,0.002509346,0.23641010451394742,0.15848235987007792,0.046374928,-0.077743896,0,0.24814249923746146,0.013630997674498484,-0.015964159,0.033424501,0.1541045982685161,-0.003271601,0.1720075730679721,0,0.000929906,0.003750149,0.003883092,0,0.008976302,0.003705063,0.0152072,0.2599725872192744,0.002924861,0.297767034,0.2738187048192771,0.40874491502735083,0.36592542529216554,0.27957199705656227,0.27478630329589254,0.5730269891755918,0.3487213598173667,0.10272334651326463,0.32145158993393064,0.26128892259951564,0.49864372972120186,0,0.24673046588076128,0.2729366931989705,0.4153837217227828,0.5118066878628293,0.3369191804312433,0.000667219,0.30692502330448074,0.095683284,0.1079010574495358,0.012427828382699709,0.3218251694560739,0.10336854109112265,0.040184617,0.011918312376050542,0.32100879575841273,0.41453823905627535,0,0.3346117700056701,0.10234438561289468,0.39230370992011243,0.2081366545046611,0.30279520367350504,-0.025963004,0,-0.008075192,0.10945996877054279,0.006551256,0.2519680809418948,0.10078339557853631,0.5721508019637902,0.24215517667876843,0.12351552269803563,0.20854403729170845,0.00109603,0.3051161108625557,0.000396067,0.000692755,0.003173948,0.046876139
